n_Conhecimento,faixa_etaria,formacao_escolar,tempo_de_servico,ultima_capacitacao
aumentou,etaria3_3_up,formacao2_5_6,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria2_2_3,formacao3_6_7,servico1_below_10,ultima_capacit4_3_4
constante,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
diminuiu,etaria3_3_up,formacao6_9_up,servico4_61_up,ultima_capacit3_2_3
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit3_2_3
constante,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao5_8_9,servico4_61_up,ultima_capacit3_2_3
aumentou,etaria3_3_up,formacao3_6_7,servico1_below_10,ultima_capacit1_below_1
aumentou,etaria1_below_2,formacao5_8_9,servico1_below_10,ultima_capacit2_1_2
aumentou,etaria3_3_up,formacao1_below_5,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit3_2_3
aumentou,etaria3_3_up,formacao5_8_9,servico3_15_61,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit1_below_1
aumentou,etaria3_3_up,formacao3_6_7,servico3_15_61,ultima_capacit5_4_up
constante,etaria2_2_3,formacao5_8_9,servico4_61_up,ultima_capacit3_2_3
constante,etaria2_2_3,formacao5_8_9,servico2_10_15,ultima_capacit4_3_4
constante,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
constante,etaria3_3_up,formacao3_6_7,servico3_15_61,ultima_capacit5_4_up
aumentou,etaria2_2_3,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico1_below_10,ultima_capacit1_below_1
constante,etaria3_3_up,formacao3_6_7,servico3_15_61,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit2_1_2
constante,etaria2_2_3,formacao3_6_7,servico1_below_10,ultima_capacit1_below_1
constante,etaria2_2_3,formacao5_8_9,servico3_15_61,ultima_capacit1_below_1
constante,etaria2_2_3,formacao3_6_7,servico2_10_15,ultima_capacit1_below_1
diminuiu,etaria2_2_3,formacao3_6_7,servico2_10_15,ultima_capacit3_2_3
aumentou,etaria3_3_up,formacao3_6_7,servico3_15_61,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao4_7_8,servico3_15_61,ultima_capacit1_below_1
aumentou,etaria2_2_3,formacao5_8_9,servico3_15_61,ultima_capacit5_4_up
constante,etaria2_2_3,formacao3_6_7,servico1_below_10,ultima_capacit1_below_1
constante,etaria1_below_2,formacao5_8_9,servico3_15_61,ultima_capacit3_2_3
constante,etaria3_3_up,formacao3_6_7,servico3_15_61,ultima_capacit4_3_4
aumentou,etaria3_3_up,formacao3_6_7,servico4_61_up,ultima_capacit4_3_4
constante,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico4_61_up,ultima_capacit4_3_4
aumentou,etaria3_3_up,formacao2_5_6,servico3_15_61,ultima_capacit4_3_4
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico2_10_15,ultima_capacit1_below_1
aumentou,etaria2_2_3,formacao3_6_7,servico3_15_61,ultima_capacit1_below_1
aumentou,etaria3_3_up,formacao2_5_6,servico2_10_15,ultima_capacit1_below_1
constante,etaria2_2_3,formacao5_8_9,servico1_below_10,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao2_5_6,servico3_15_61,ultima_capacit5_4_up
constante,etaria2_2_3,formacao3_6_7,servico1_below_10,ultima_capacit5_4_up
constante,etaria2_2_3,formacao3_6_7,servico3_15_61,ultima_capacit5_4_up
aumentou,etaria3_3_up,formacao3_6_7,servico3_15_61,ultima_capacit4_3_4
